SPCompIndexPercentChange,CPIPercentChange,LongInterestRatePercentChange,RealEarningsPercentChange,CyclicallyAdjPEPercentageChange,CAPETotalPercentageChange,RealTotalBondReturnPercentageChange
0.02,0.005617533,-0.041044776,-0.000620386,0.001354096,0.001552313,0.006106249
0.03,0.005310779,-0.015564202,-0.003103855,0.018593644,0.019218847,0.000404613
-0.02,0.002113089,-0.051383399,6.23E-05,-0.029538666,-0.028892944,0.01132457
0.01,0.000195244,-0.141666667,0.001930262,0.001367989,0.001879111,0.032393521
0.04,0.001678769,-0.208737864,-0.007457585,0.024248634,0.02438262,0.039318226
-0.03,-3.90E-05,0,-0.005823054,-0.042680894,-0.042111688,0.00130451
0.03,0.000779545,0.042944785,-0.006738884,0.018112156,0.018477222,-0.005769589
0,0.002297866,0.005882353,0.014203285,-0.013342456,-0.012824523,-0.001684762
0.04,-0.000544006,0.058479532,0.016755236,0.034674064,0.034854246,-0.007125445
0.02,-0.00093309,0.027624309,0.01684806,0.016420912,0.016840171,-0.002077432
0.03,0.003891505,-0.053763441,-0.058958699,0.021760633,0.021379103,0.00662377
0,0.002752258,-0.147727273,-0.061110397,-0.008389803,-0.008254717,0.022560632
-0.24,-0.002164837,-0.42,-0.060091712,-0.192320208,-0.192033294,0.063430778
0.04,-0.006702309,-0.24137931,-0.042598121,0.044721998,0.045253863,0.027835408
0.05,0,0.015151515,-0.051566778,0.053991516,0.054206265,-0.000504626
0.06,0.005499434,0.089552239,-0.059502807,0.05525064,0.05542571,-0.010602491
0.03,0.005042669,-0.150684932,-0.008356071,0.026352288,0.026573869,0.00612349
0.05,0.003164801,0.048387097,-0.006534824,0.052702703,0.053004622,-0.005409975
-0.01,0.001385042,0.046153846,-0.004846806,-0.010269576,-0.010242903,-0.003739589
0.02,0.000422622,0.161764706,-0.01426335,0.014267185,0.014488468,-0.01040778
0.04,-0.000614463,0.101265823,-0.013499206,0.038043478,0.037889828,-0.00637931
0.04,0.000922261,0.068965517,-0.015204365,0.040036957,0.039876439,-0.005899705
0.03,0.004261527,0.161290323,0.115884116,0.02191294,0.021874156,-0.017455053
0.02,0.005466779,0.166666667,0.101652153,0.017096494,0.016913319,-0.021140522
0.01,0.007109996,0.277777778,0.08946513,-0.001709402,-0.002079002,-0.037931034
0.06,0.008192389,0.01863354,0.070658439,0.047945205,0.047395833,-0.009432183
0.01,0.008050927,-0.012195122,0.06510862,-0.00462963,-0.005221283,-0.004760998
0.02,0.009286776,-0.061728395,0.058750074,0.004103967,0.003499125,0.001148106
0.03,0.004784689,-0.131578947,0.029991575,0.020163488,0.019676214,0.014908257
0.02,0.002087912,-0.03030303,0.031735645,0.014155983,0.013434294,0.002824859
0,0.002704975,0.0703125,0.029913852,-0.009217804,-0.010122921,-0.009953052
0,0.008311764,0.153284672,0.034022682,-0.009835194,-0.010469929,-0.026176024
0.04,0.004917025,-0.012658228,0.035781638,0.035704698,0.034694882,-0.001753019
0,0.003058104,-0.057692308,0.036126683,-0.007257646,-0.0078478,0.006439024
-0.02,0.008428981,0.197278912,-0.008277457,-0.035509138,-0.036673058,-0.033346258
-0.03,0.009141028,0.096590909,-0.008999347,-0.044667028,-0.045284897,-0.022663458
-0.01,0.013322995,0.103626943,-0.013080506,-0.028903372,-0.029450091,-0.029345372
