SPCompIndex,SPCompIndexChange,Dividends,Earnings,CPI,LongInterestRate,RealPrice,RealDiv,RealTotalReturnPrice,RealEarnings,RealTRScaledEarnings,CyclicallyAdjPE,CAPETotal,ExcessCAPEYield,MonthlyBondTotalReturn,RealTotalBondReturn
2157.69,-0.01,45.03,89.09,241.43,1.63,2723.16,56.83,1585597.41,112.44,65468.57,26.73,29.36,0.04,0.99,53.19
2143.02,-0.01,45.25,90.91,241.73,1.76,2701.28,57.04,1575623.86,114.59,66840.24,26.53,29.13,0.04,0.97,52.56
2164.99,0.01,45.48,92.73,241.35,2.14,2733.23,57.41,1597047.46,117.07,68404.11,26.85,29.48,0.03,0.97,50.94
2246.63,0.04,45.70,94.55,241.43,2.49,2835.37,57.68,1659536.90,119.33,69842.04,27.87,30.59,0.03,1.01,49.45
2275.12,0.01,45.93,96.46,242.84,2.43,2854.69,57.63,1673655.32,121.04,70961.69,28.06,30.79,0.03,1.00,49.52
2329.91,0.02,46.15,98.38,243.60,2.42,2914.26,57.73,1711405.75,123.05,72261.33,28.66,31.43,0.03,1.00,49.51
2366.82,0.02,46.38,100.29,243.80,2.48,2958.03,57.97,1739942.28,125.34,73727.12,29.09,31.89,0.03,1.02,49.31
2359.31,0.00,46.66,101.53,244.52,2.30,2939.92,58.14,1732143.13,126.52,74543.09,28.90,31.67,0.03,1.00,50.05
2395.35,0.02,46.94,102.78,244.73,2.30,2982.28,58.44,1759970.30,127.96,75514.59,29.31,32.10,0.03,1.01,50.10
2433.99,0.02,47.22,104.02,244.96,2.19,3027.64,58.74,1789628.66,129.39,76482.31,29.75,32.56,0.03,0.99,50.64
2454.10,0.01,47.54,105.04,244.79,2.32,3054.77,59.17,1808575.29,130.75,77410.35,30.00,32.82,0.03,1.01,50.19
2456.22,0.00,47.85,106.06,245.52,2.21,3048.28,59.39,1807663.52,131.63,78055.22,29.91,32.71,0.03,1.00,50.62
2492.84,0.01,48.17,107.08,246.82,2.20,3077.43,59.47,1827889.87,132.19,78517.05,30.17,32.97,0.03,0.99,50.49
